id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
2a08e0090abef4e3cc58e6cb748eea77,M. Casquilho,portugal,europe,0,0,1,1,1,1,1,1,1,2,1,1,1,3,15
d0c9efb898fe371056ee7787fc7fd1ca,P. Dias,portugal,europe,0,2,0,0,1,0,1,0,1,3,2,3,1,1,15
c0df60f6a8fc7753254d6d9f06b9cd53,D. J. Lancheros-Cuesta,colombia,south america,0,0,0,1,1,2,3,0,3,2,2,1,0,0,15
3f44065a21f7ccd0183b1fc6c1597da9,A. Suing,ecuador,south america,0,0,0,0,0,2,2,1,2,2,3,3,0,0,15
d5df32fc571cf1a96f10e1de68f443a6, I. J. de Melo Filho,brazil,south america,0,2,1,1,1,2,0,5,1,2,0,0,0,0,15
b8abbfc69282cd6fd98df6f6967519ec, P. Alves,portugal,europe,0,2,1,2,1,1,0,1,1,0,2,2,0,1,14
9e5cabd00913012fdce085099ec9c688, M. A. Cavenaghi,ireland,europe,2,1,0,0,0,0,0,2,0,0,2,4,1,2,14
e365f553495d8152437492b59b778d71, A. Gonçalves,portugal,europe,0,0,0,3,0,1,0,2,1,2,2,1,1,1,14
e78711a07b303ca515db93cdbca5119e, R. P. Marques,portugal,europe,0,0,0,0,1,0,1,1,3,2,3,1,0,2,14
0a2f62710e98dfb691c94df845874377,A. Silva,portugal,europe,1,1,0,1,0,1,2,2,1,3,0,2,0,0,14
3ecee43b463d315457e2b8944a84ea46, J. Gonçalves,portugal,europe,1,1,0,0,2,3,3,2,1,0,1,0,0,0,14
ed008a65ad2c03df3138f21c92b39e8d, A. Queirós,portugal,europe,0,0,2,1,2,4,3,2,0,0,0,0,0,0,14
818bbe67ec432f5c6e87b6cc3c8fad95, P. Martins,portugal,europe,0,0,0,0,0,0,0,1,0,3,2,2,0,5,13
b1e0be7b7f253c28062257565aba0ffe, T. Silva,portugal,europe,0,0,0,0,0,1,0,2,2,2,2,0,1,3,13
3d2393d76ed5a3bfe8637ff9fb74a128,E. P. Morais,portugal,europe,0,1,1,1,0,0,0,0,3,1,0,1,4,1,13
af8fd337e0dba44234717b310dc7919b, C. R. Cunha,portugal,europe,0,1,0,1,0,0,0,0,3,1,0,2,4,1,13
7d343b4e8b2c9f927a503e2818461020, B. Bordel,españa,europe,0,0,0,0,0,0,2,2,2,2,2,1,2,0,13
ff5da556622bbd754efc861a60f68ac8, E. E. Grandón,chile,south america,0,0,0,0,0,0,0,0,5,5,2,1,0,0,13
f76dd77384c870a83d4926281fc814f1,G. P. Gasca-Hurtado,colombia,south america,0,0,1,1,1,1,2,2,2,1,1,1,0,0,13
428ba2059b967d446a38007f8b5ea147, J. Barroso,portugal,europe,1,2,0,1,0,0,1,3,2,3,0,0,0,0,13
e6b01ffe99b833bf4b0a5ae4dbfdb523,J. Costa,portugal,europe,1,0,0,0,1,0,0,0,2,3,1,2,0,2,12
7af253dfaa324ba13f85b4fb3fd9b183, L. Reis,portugal,europe,0,0,0,0,0,0,0,0,1,1,5,3,1,1,12
